0,2,3832,2001-12-06T06:44:54,4.00
1,4,11862,2001-12-04T23:20:07,12.99
2,4,4111,2001-12-06T02:00:07,15.99
3,4,13325,2001-12-07T04:40:07,18.99
4,4,8676,2001-12-08T07:20:07,22.00
5,4,4000,2001-12-09T10:00:07,25.00
6,4,6514,2001-12-10T12:40:07,28.00
7,11,8094,2001-12-05T06:36:30,17.37
8,11,8979,2001-12-05T22:36:30,33.74
9,11,8706,2001-12-06T14:36:30,50.12
10,11,10952,2001-12-07T06:36:30,66.49
11,11,12828,2001-12-07T22:36:30,82.87
12,11,1801,2001-12-08T14:36:30,99.24
13,11,789,2001-12-09T06:36:30,115.62
14,11,12100,2001-12-09T22:36:30,132.00
15,11,2755,2001-12-10T14:36:30,148.37
16,11,11942,2001-12-11T06:36:30,164.75
17,11,3608,2001-12-11T22:36:30,181.12
18,11,12022,2001-12-12T14:36:30,197.50
19,12,10732,2001-12-07T04:56:27,6.00
20,13,105,2001-12-07T06:35:48,19.90
21,14,7093,2001-12-07T06:40:32,11.99
22,17,254,2001-12-07T09:00:05,9.99
23,18,10926,2001-12-05T19:21:03,19.12
24,18,8552,2001-12-06T17:10:08,23.24
25,18,6605,2001-12-07T14:59:14,27.37
26,18,3056,2001-12-08T12:48:19,31.49
27,18,7679,2001-12-09T10:37:25,35.62
28,18,4520,2001-12-10T08:26:30,39.74
29,18,2589,2001-12-11T06:15:36,43.86
30,18,1110,2001-12-12T04:04:41,47.99
31,19,3047,2001-12-07T12:09:14,6.99
32,22,7717,2001-12-06T11:35:50,5.28
33,22,6407,2001-12-07T17:35:50,7.56
34,22,13405,2001-12-08T23:35:50,9.83
35,22,44,2001-12-10T05:35:50,12.11
36,22,13298,2001-12-11T11:35:50,14.39
37,25,10882,2001-12-07T21:19:09,5.50
38,26,3211,2001-12-07T23:41:12,10.00
39,29,2271,2001-12-08T02:13:37,29.99
40,32,9754,2001-12-07T15:02:54,1.12
41,32,12490,2001-12-09T15:02:54,1.25
42,34,12355,2001-12-08T04:48:03,32.50
43,35,7748,2001-12-07T17:10:40,27.98
44,35,3526,2001-12-09T17:10:40,41.00
45,36,3951,2001-12-06T19:53:54,23.16
46,36,11779,2001-12-07T22:33:54,26.33
47,36,7021,2001-12-09T01:13:54,29.49
48,36,8778,2001-12-10T03:53:54,32.66
49,36,2300,2001-12-11T06:33:54,35.83
50,36,5830,2001-12-12T09:13:54,39.00
51,38,8600,2001-12-08T05:51:26,795.00
52,39,3635,2001-12-08T05:54:27,4.99
53,42,12353,2001-12-06T18:21:35,3.07
54,42,8149,2001-12-07T18:21:35,5.14
55,42,1094,2001-12-08T18:21:35,7.21
56,42,10937,2001-12-09T18:21:35,9.29
57,42,9183,2001-12-10T18:21:35,11.36
58,42,9958,2001-12-11T18:21:35,13.43
59,42,2781,2001-12-12T18:21:35,15.50
60,43,2608,2001-12-09T18:31:00,13.00
61,48,8201,2001-12-06T20:25:46,13.71
62,48,13330,2001-12-07T20:25:46,17.42
63,48,4928,2001-12-08T20:25:46,21.14
64,48,4829,2001-12-09T20:25:46,24.85
65,48,12261,2001-12-10T20:25:46,28.57
66,48,10671,2001-12-11T20:25:46,32.28
67,48,7318,2001-12-12T20:25:46,36.00
68,52,10932,2001-12-08T11:11:28,34.50
69,55,12064,2001-12-08T13:41:38,4.99
