2543,! HAPPY HOLIDAYS !,,,USA
14068,!!! Bid Now !!!,,,Canada
6755,!!!BILLPOINT / PAYPAL ONLY!!!,,,Canada
2141,"""Credit cards with Paypal ONLY""",,,USA
5587,"""GOD IS WATCHING US""",,,USA
9722,"""God Bless America""",,,USA
6607,"""LIVE FREE OR DIE"", NH",,,USA
2180,"""Oldville""",,,USA
10650,(,,,USA
3446,* * IN MY CANDIED APPLE CLOSET * *,,,USA
3538,* CHECK MY OTHER AUCTIONS AND SAVE*,,,USA
9547,** FREE S/H WITH BUY NOW !!,,,USA
705,** MY HOUSE **,,,USA
3901,*** MAINE ***,,,USA
11003,*** PAYPAL ONLY ***,,,USA
2254,*** See My Other Auction(s) ***,,,USA
1000,*****,,,USA
8051,***** MISSOURI,,,USA
9891,*****POWER SELLER COUNTRY*****,,,USA
11926,****NW IOWA**,,,USA
1550,***BATH &BODY MAKES A GREAT GIFT!!!!********,,,USA
8966,***IOWA***,,,USA
2758,***Paypal***Billpoint***,,,USA
1169,***Ready To Ship***,,,USA
5240,***SEASON'S GREETINGS***,,,USA
2992,**CHECK OUT MY OTHER AUCTIONS!! GO GONZAGA!**,,,USA
7680,**HAPPY HOLIDAYS**,,,USA
13935,**HOLLYWOOD**,,,USA
6675,**Happy Holidays**,,,USA
1352,**SANTA'S**ARCADE**,,,USA
6742,**SAVANNAH'S CLOSET**,,,USA
10027,**THINK CHRISTMAS**,,,USA
7626,*Deja Vu Creations*,,,USA
1755,*Item Ships Within 24 Hrs Of Your Paid Order!,,,USA
7723,*LAND OF THE FREE*,,,USA
5797,"*Midtown, K.C.*",,,USA
9484,*Midwest COLD USA*,,,USA
11719,*My Closet In East Texas Baby!!!*,,,USA
7231,*NJ* ALL MY AUCTIONS ARE TOP QUALITY WoW~,,,USA
6524,*Power Ebay Seller * Square Trade Seal Member,,,USA
10126,*RI TIE GUY!*,,,USA
9416,*SEXIEST BOOTS ON SHE-BAY!!* VISA/MC,,,USA
6630,*Vistit my other Auctions too*!,,,USA
6744,*WIN 3 OR MORE &I'LL SHIP ALL FOR $5.00!!**,,,USA
2378,*|* HOLLYWOOD *|*,,,USA
6651,*~*Selling on the Straits of Juan de Fuca*~*,,,USA
3457,*~Makes A Great Gift~*,,,USA
7008,*~PENNSYLVANIA~*,,,USA
6193,-,,,Canada
3577,....it's only a Northern Song,,,USA
4272,...stand beside her &guide her,,,USA
11243,.Right Across the River from NYC,,,USA
4462,02152 Massachusetts,,,USA
7149,08,,,France
1641,1 Hour From Conn. #1 Casino - FOXWOODS!,,,USA
1388,1#CUSTOMER SERVICE 5 YRS!,,,USA
8432,"1-800 269-9629, Florida",,,USA
12868,"10 mins.from beaut.dt.Lake City, Fla",,,USA
7876,"10,000 Lakes",,,USA
3177,100 ACRE WOODS,,,USA
6506,100 Acre Woods,,,USA
10314,100% Authentic Auctionzzzzzzzzzzzzzzzzzzzz,,,USA
10907,100% BRAND NEW!!,,,Hong Kong
1098,100% Money Back Guarantee!!!,,,USA
8743,100+ items still to go,,,USA
5883,"1000 Isands, Ontario",,,Canada
9458,"1000 Islands, New York USA!!",,,USA
664,10779,,,Germany
2010,10965 BERLIN,,,Germany
7134,11364,,,USA
10193,12 DAYS TILL CHRISTMAS!!!,,,USA
2581,12 GREAT CHRISTMAS GIFTS!,,,USA
8808,13903,,,USA
11179,16066,,,USA
7628,1616 Mocking Bird Place,,,USA
